"","island","species","increase0","lengthlag0","endlagphase0","firstyear0","increase","lengthlag","endlagphase","firstyear"
"1","North","Ageratina adenophora","FALSE","9.2140720459297","1938.21407204593","1929","FALSE","5.28135092281445e-05","1929.00005281351","1929"
"2","North","Ageratina riparia","FALSE","24.6753352049359","1937.67533520494","1913",NA,NA,NA,NA
"3","North","Agrostis capillaris","FALSE","1.37541385356599e-05","1926.00001375414","1926","FALSE","14.6576804245894","1940.65768042459","1926"
"4","North","Alternanthera philoxeroides","FALSE","43.0439108967771","1992.04391089678","1949","FALSE","14.9999918681956","1963.9999918682","1949"
"5","North","Anredera cordifolia","FALSE","4.46794160779973e-06","1941.00000446794","1941","TRUE","51.7788155847272","1992.77881558473","1941"
"6","North","Arctium minus","FALSE","7.99999629258446","1936.99999629258","1929","FALSE","7.99998407814473","1936.99998407814","1929"
"7","North","Arctotheca calendula","FALSE","11.2829006652223","1939.28290066522","1928","FALSE","10.9999456745809","1938.99994567458","1928"
"8","North","Aristea ecklonii","FALSE","9.18403657124145e-07","1933.0000009184","1933",NA,NA,NA,NA
"9","North","Arum italicum","FALSE","6.66947926220018e-07","1945.00000066695","1945",NA,NA,NA,NA
"10","North","Arundo donax","TRUE","19.0000530958805","1968.00005309588","1949","TRUE","37.3945854634808","1986.39458546348","1949"
"11","North","Asparagus asparagoides","TRUE","34.2455875001801","1984.24558750018","1950",NA,NA,NA,NA
"12","North","Asparagus scandens","TRUE","38.0000399738619","1997.00003997386","1959","TRUE","29.6468728034436","1988.64687280344","1959"
"13","North","Azolla pinnata","FALSE","5.51674996627071","1971.51674996627","1966","TRUE","20.869675067629","1986.86967506763","1966"
"14","North","Banksia integrifolia",NA,NA,NA,NA,NA,NA,NA,NA
"15","North","Berberis darwinii","FALSE","7.00001140394829","1947.00001140395","1940",NA,NA,NA,NA
"16","North","Bidens frondosa","FALSE","25.0325155687692","1925.03251556877","1900","FALSE","13.000009822048","1913.00000982205","1900"
"17","North","Buddleja davidii","FALSE","34.0000037396703","1979.00000373967","1945",NA,NA,NA,NA
"18","North","Calluna vulgaris","FALSE","6.39872848751111e-05","1909.00006398728","1909","FALSE","32.3079546503432","1941.30795465034","1909"
"19","North","Carduus nutans","TRUE","37.1300845637611","1965.13008456376","1928",NA,NA,NA,NA
